BANK_ID,NAME,DISPLAY_NAME,SHORT_NAME,UPDATE_DATE
-1,Payables,Payables,Payables,2019-09-20 09:21:44.100000000
10,ANZ Bank New Zealand,ANZ Bank New Zealand,ANZ NZ,2019-09-20 09:21:44.100000000
11,Bank of New Zealand,Bank of New Zealand,BNZ,2019-09-20 09:21:44.100000000
12,Diners Club International,Diners Club International,Diners Club,2019-09-20 09:21:44.100000000
20,St.George Bank,St.George Bank,St.George,2019-09-20 09:21:44.100000000
25,Wells Fargo Bank, N.A.,Wells Fargo,Wells Fargo,2019-09-20 09:21:44.100000000
30,NAB Mastercard,NAB Mastercard,NAB MC,2019-09-20 09:21:44.100000000
40,ANZ NZ,ANZ NZ,ANZ NZ,2019-09-20 09:21:44.100000000
41,ANZ NZ Purchasing,ANZ NZ Purchasing,ANZ NZ PUR,2019-09-20 09:21:44.100000000
42,ANZ NZ Corporate,ANZ NZ Corporate,ANZ NZ Corp,2019-09-20 09:21:44.100000000
90,ASB VISA,ASB VISA,ASB VISA,2019-09-20 09:21:44.100000000
99,United Vision Travel,United Vision Travel,VisionTravel,2019-09-20 09:21:44.100000000
100,United Vision Bank,United Vision Bank,Vision Bank,2019-09-20 09:21:44.100000000
101,ASB BANK,ASB BANK,ASB BANK,2019-09-20 09:21:44.100000000
102,Commonwealth Bank of Australia,Commonwealth Bank of Australia,CBA,2019-09-20 09:21:44.100000000
103,ANZ,ANZ,ANZ,2019-09-20 09:21:44.100000000
104,Westpac NZ,Westpac NZ,Westpac NZ,2019-09-20 09:21:44.100000000
105,Visa International,Visa International,VISA,2019-09-20 09:21:44.100000000
106,National Australia Bank,National Australia Bank,NAB,2019-09-20 09:21:44.100000000
107,American Express,American Express,AMEX,2019-09-20 09:21:44.100000000
108,Barclaycard Business,Barclaycard Business,Barclaycard,2019-09-20 09:21:44.100000000
109,Barclays Bank PLC,Barclays Bank PLC,Barclays ,2019-09-20 09:21:44.100000000
110,Westpac Banking Corporation,Westpac,Westpac,2019-09-20 09:21:44.100000000
111,American Express NZ,American Express NZ,AMEX NZ,2019-09-20 09:21:44.100000000
112,American Express AUS,American Express AUS,AMEX AUS,2019-09-20 09:21:44.100000000
113,Diners Club New Zealand,Diners Club New Zealand,Diners NZ,2019-09-20 09:21:44.100000000
114,Citibank Europe,Citibank Europe,Citibank,2019-09-20 09:21:44.100000000
115,Citibank Singapore,Citibank Singapore,Citibank SG,2019-09-20 09:21:44.100000000
116,JPMorganChase,JPMorganChase,JPMC,2019-09-20 09:21:44.100000000
